,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_23_P83436,0,0,1,0,0,0,1,0
A_32_P783,1,-1,-1,0,-1,0,1,0
A_33_P3827416,0,1,-1,1,1,0,1,0
A_24_P58308,0,-1,0,-1,-1,0,1,0
A_23_P68942,0,-1,-1,0,0,0,1,0
A_23_P13899,0,0,1,0,0,0,1,0
A_23_P122815,0,-1,1,-1,0,0,1,0
A_23_P91619,1,0,1,0,0,0,1,0
A_23_P115137,0,0,0,0,0,0,1,0
A_23_P78563,0,-1,0,0,0,0,1,0
A_33_P3251148,0,0,1,0,-1,0,1,0
A_32_P20367,0,-1,0,0,-1,0,1,0
A_23_P62605,0,-1,-1,-1,-1,0,1,0
A_33_P3378835,0,-1,-1,1,-1,0,1,0
A_23_P143474,0,0,0,1,1,0,1,0
A_23_P354387,0,0,1,-1,-1,0,1,0
A_23_P202658,0,-1,1,0,1,0,1,0
A_23_P121702,1,0,1,-1,0,0,1,0
A_23_P120414,0,0,0,1,0,0,1,0
A_23_P254415,0,0,0,-1,-1,0,1,0
A_33_P3270581,1,0,0,0,1,0,1,0
A_23_P102582,0,0,0,0,0,0,1,0
A_33_P3275668,0,0,0,0,0,0,1,0
A_23_P127367,1,0,1,0,0,0,1,0
A_23_P47357,0,-1,-1,-1,-1,0,1,0
A_33_P3238461,1,-1,-1,-1,-1,0,1,0
A_23_P213385,0,1,-1,0,0,0,1,0
A_23_P123330,0,0,0,0,-1,0,1,0
A_23_P29747,0,-1,0,0,-1,0,1,0
A_21_P0011491,1,0,0,0,0,0,1,0
A_24_P257359,0,-1,0,-1,0,0,1,0
A_33_P3351529,1,-1,-1,0,0,0,1,0
A_23_P154894,0,0,0,0,0,0,1,0
A_33_P6549164,0,1,-1,1,0,0,1,0
A_24_P406301,0,0,0,1,0,0,1,0
A_23_P162874,0,0,0,0,0,0,1,0
A_23_P200792,0,-1,-1,-1,-1,0,1,0
A_21_P0000585,0,0,0,0,1,0,1,0
A_23_P34018,0,-1,-1,-1,-1,0,1,0
A_33_P6433406,0,1,0,1,1,0,1,0
