,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
ENST00000591968,0,0,1,0,0,0,1,0
ENST00000451614,1,-1,-1,0,-1,0,1,0
ENST00000594193,0,-1,0,-1,-1,0,1,0
ENST00000481985,0,-1,-1,0,0,0,1,0
ENST00000613839,1,0,1,0,0,0,1,0
ENST00000614544,0,0,0,0,0,0,1,0
ENST00000588141,0,-1,0,0,0,0,1,0
ENST00000443360,0,-1,0,0,-1,0,1,0
ENST00000482370,0,-1,-1,-1,-1,0,1,0
ENST00000262613,0,-1,-1,1,-1,0,1,0
ENST00000429064,0,0,0,1,1,0,1,0
ENST00000359263,0,0,1,-1,-1,0,1,0
ENST00000494593,0,-1,1,0,1,0,1,0
ENST00000372839,0,0,0,1,0,0,1,0
ENST00000458478,0,0,0,-1,-1,0,1,0
ENST00000491837,1,0,0,0,1,0,1,0
ENST00000527853,0,-1,-1,-1,-1,0,1,0
ENST00000398740,1,-1,-1,-1,-1,0,1,0
ENST00000322611,0,1,-1,0,0,0,1,0
ENST00000517489,0,0,0,0,-1,0,1,0
ENST00000580755,0,-1,0,0,-1,0,1,0
ENST00000473357,0,1,-1,1,0,0,1,0
ENST00000464564,0,0,0,1,0,0,1,0
ENST00000554401,0,0,0,0,0,0,1,0
ENST00000256646,0,-1,-1,-1,-1,0,1,0
ENST00000468844,0,-1,-1,-1,-1,0,1,0
ENST00000448115,1,-1,-1,-1,-1,0,1,0
ENST00000447574,0,-1,1,-1,0,0,1,0
ENST00000549370,0,-1,-1,0,0,0,1,0
ENST00000592388,-1,1,1,-1,0,0,1,0
ENST00000553191,0,1,1,0,0,0,1,0
ENST00000372969,0,0,0,0,0,0,1,0
ENST00000222008,0,0,0,0,1,0,1,0
ENST00000534180,0,1,1,1,0,0,1,0
ENST00000259457,0,-1,-1,-1,0,0,1,0
ENST00000320371,1,-1,-1,-1,-1,0,1,0
ENST00000433674,0,-1,0,0,0,0,1,0
ENST00000299427,0,0,0,-1,-1,0,1,0
ENST00000598780,0,0,-1,-1,0,0,1,0
ENST00000436473,0,0,-1,0,0,0,1,0
ENST00000542416,-1,0,0,1,1,0,1,0
ENST00000429515,0,-1,0,-1,-1,0,1,0
ENST00000494836,0,0,0,-1,1,0,1,0
ENST00000492103,0,0,0,0,1,0,1,0
ENST00000511991,1,-1,-1,-1,-1,0,1,0
ENST00000330398,0,1,1,1,1,0,1,0
ENST00000297290,0,0,0,0,-1,0,1,0
ENST00000624302,0,0,-1,1,0,0,1,0
ENST00000525402,0,0,1,1,1,0,1,0
ENST00000557901,0,0,-1,-1,-1,0,1,0
ENST00000361899,-1,1,0,1,1,0,1,0
ENST00000301843,0,0,1,0,1,0,1,0
ENST00000483581,1,-1,0,1,0,0,1,0
ENST00000497075,0,0,1,1,1,0,1,0
ENST00000382688,0,-1,0,-1,-1,0,1,0
ENST00000334660,0,-1,-1,0,-1,0,1,0
ENST00000467622,0,0,0,0,0,0,1,0
ENST00000506397,1,-1,-1,0,-1,0,1,0
ENST00000440551,0,0,0,0,0,0,1,0
ENST00000308919,0,1,-1,1,1,0,1,0
ENST00000482299,0,0,0,1,0,0,1,0
ENST00000462773,0,0,-1,0,-1,0,1,0
ENST00000550639,0,0,1,0,0,0,1,0
ENST00000552314,1,0,0,0,0,0,1,0
ENST00000396076,-1,0,1,1,1,0,1,0
ENST00000340697,0,-1,0,0,0,0,1,0
ENST00000550487,0,0,-1,0,-1,0,1,0
ENST00000313468,0,0,0,0,0,0,1,0
ENST00000368809,0,-1,1,-1,0,0,1,0
ENST00000436136,1,0,1,-1,0,0,1,0
ENST00000222254,0,0,0,0,1,0,1,0
ENST00000481757,0,0,1,0,0,0,1,0
ENST00000492356,0,-1,-1,-1,-1,0,1,0
ENST00000575069,0,1,1,0,1,0,1,0
ENST00000297290,0,0,0,0,-1,0,1,0
ENST00000437690,0,0,0,0,0,0,1,0
ENST00000389651,-1,-1,0,-1,-1,0,1,0
ENST00000586659,-1,-1,0,-1,-1,0,1,0
ENST00000424036,0,0,0,0,0,0,1,0
ENST00000262947,0,0,0,-1,1,0,1,0
ENST00000576579,0,0,0,-1,0,0,1,0
ENST00000580842,0,0,0,1,0,0,1,0
ENST00000593029,0,0,-1,0,0,0,1,0
ENST00000496588,0,0,1,1,1,0,1,0
ENST00000451284,0,0,0,0,0,0,1,0
ENST00000308611,0,0,0,0,0,0,1,0
ENST00000375252,-1,-1,-1,-1,-1,0,1,0
ENST00000567391,0,0,1,0,0,0,1,0
ENST00000328848,1,0,0,-1,0,0,1,0
ENST00000458605,0,1,-1,1,1,0,1,0
ENST00000353999,0,0,0,0,0,0,1,0
ENST00000471253,1,-1,-1,-1,0,0,1,0
ENST00000600467,1,-1,-1,-1,-1,0,1,0
ENST00000424692,1,0,1,0,1,0,1,0
ENST00000326597,0,1,-1,1,1,0,1,0
ENST00000591938,0,0,-1,1,0,0,1,0
ENST00000481681,0,-1,-1,-1,-1,0,1,0
ENST00000357037,0,0,0,1,0,0,1,0
ENST00000497969,0,1,-1,1,0,0,1,0
ENST00000361739,0,1,0,1,1,0,1,0
ENST00000459947,0,0,0,0,0,0,1,0
ENST00000416718,-1,1,0,1,1,0,1,0
ENST00000467573,0,-1,0,-1,-1,0,1,0
ENST00000268182,0,-1,0,-1,-1,0,1,0
ENST00000461513,0,-1,-1,0,-1,0,1,0
ENST00000504562,0,-1,-1,0,-1,0,1,0
ENST00000444752,0,0,0,0,1,0,1,0
ENST00000175091,0,-1,1,0,0,0,1,0
ENST00000373627,0,1,0,0,0,0,1,0
ENST00000454541,0,-1,-1,0,-1,0,1,0
ENST00000361007,0,0,-1,1,0,0,1,0
ENST00000417615,0,-1,-1,0,0,0,1,0
ENST00000457423,0,-1,0,-1,-1,0,1,0
ENST00000534180,0,1,1,1,0,0,1,0
ENST00000482912,0,-1,0,0,-1,0,1,0
ENST00000472564,0,0,1,0,0,0,1,0
ENST00000372849,1,-1,-1,0,-1,0,1,0
ENST00000354725,0,0,0,1,1,0,1,0
ENST00000529920,0,0,0,-1,0,0,1,0
ENST00000495447,0,1,0,1,0,0,1,0
ENST00000420712,1,-1,-1,0,-1,0,1,0
ENST00000461452,1,0,-1,0,0,0,1,0
ENST00000396097,1,0,0,1,0,0,1,0
ENST00000466678,0,0,0,0,0,0,1,0
ENST00000525828,0,-1,-1,0,-1,0,1,0
ENST00000315377,1,-1,-1,-1,-1,0,1,0
ENST00000515818,0,-1,-1,-1,-1,0,1,0
ENST00000372849,1,-1,-1,0,-1,0,1,0
ENST00000422792,0,-1,-1,0,-1,0,1,0
ENST00000318424,-1,-1,1,-1,1,0,1,0
ENST00000237654,0,1,0,1,0,0,1,0
ENST00000329198,0,0,1,0,0,0,1,0
ENST00000398073,-1,-1,-1,0,-1,0,1,0
ENST00000336180,0,1,1,0,1,0,1,0
ENST00000378665,0,-1,0,0,1,0,1,0
ENST00000249071,0,1,-1,0,0,0,1,0
ENST00000301215,0,0,-1,1,0,0,1,0
ENST00000334701,0,0,1,1,0,0,1,0
ENST00000489274,0,1,0,0,0,0,1,0
ENST00000624739,0,0,0,1,1,0,1,0
ENST00000600467,1,-1,-1,-1,-1,0,1,0
ENST00000317368,0,0,0,1,0,0,1,0
ENST00000599232,0,-1,-1,0,0,0,1,0
ENST00000594264,0,1,0,1,0,0,1,0
ENST00000472501,1,1,1,1,1,0,1,0
ENST00000451409,0,0,-1,1,1,0,1,0
ENST00000580649,0,0,0,0,-1,0,1,0
ENST00000216027,0,0,-1,1,0,0,1,0
ENST00000223641,0,-1,0,-1,0,0,1,0
ENST00000560612,1,-1,0,-1,-1,0,1,0
ENST00000435033,0,0,-1,1,1,0,1,0
ENST00000233143,1,-1,1,-1,0,0,1,0
ENST00000623642,0,0,0,0,-1,0,1,0
ENST00000549525,0,1,1,0,1,0,1,0
ENST00000487304,1,-1,-1,0,-1,0,1,0
ENST00000493874,0,-1,-1,0,-1,0,1,0
ENST00000369356,0,0,-1,1,0,0,1,0
ENST00000369356,0,0,-1,1,0,0,1,0
ENST00000429276,0,1,-1,1,1,0,1,0
ENST00000584583,1,-1,0,-1,0,0,1,0
ENST00000557367,0,-1,-1,0,-1,0,1,0
ENST00000474582,1,-1,-1,0,-1,0,1,0
ENST00000466297,0,-1,-1,0,-1,0,1,0
ENST00000539945,0,1,1,1,0,0,1,0
ENST00000549989,0,0,0,0,0,0,1,0
ENST00000373312,0,0,1,0,0,0,1,0
ENST00000474024,0,1,0,1,0,0,1,0
ENST00000466086,0,1,0,1,0,0,1,0
ENST00000564647,0,-1,0,0,-1,0,1,0
ENST00000472730,0,-1,0,0,0,0,1,0
ENST00000373768,0,1,0,1,0,0,1,0
ENST00000541388,0,0,-1,1,1,0,1,0
ENST00000513551,0,0,0,0,0,0,1,0
ENST00000446071,0,0,0,1,1,0,1,0
ENST00000355091,-1,1,1,0,0,0,1,0
ENST00000083182,0,0,-1,0,-1,0,1,0
ENST00000579197,0,0,0,1,0,0,1,0
ENST00000425409,0,1,1,0,0,0,1,0
ENST00000583515,1,-1,-1,0,0,0,1,0
ENST00000284719,0,1,1,1,-1,0,1,0
ENST00000461584,1,-1,-1,-1,-1,0,1,0
ENST00000318666,0,0,0,0,0,0,1,0
ENST00000398470,0,0,0,0,0,0,1,0
ENST00000560881,1,0,0,0,0,0,1,0
ENST00000526555,0,0,0,0,0,0,1,0
ENST00000531430,0,1,0,0,1,0,1,0
ENST00000440335,1,-1,-1,0,-1,0,1,0
ENST00000558449,0,0,0,0,0,0,1,0
ENST00000538869,0,0,-1,-1,-1,0,1,0
ENST00000519500,0,0,0,0,0,0,1,0
ENST00000498609,0,1,0,1,0,0,1,0
ENST00000537918,0,0,0,0,0,0,1,0
ENST00000490759,1,-1,-1,0,-1,0,1,0
ENST00000281871,1,0,0,0,0,0,1,0
ENST00000389400,0,-1,-1,-1,-1,0,1,0
ENST00000359202,0,1,0,1,0,0,1,0
ENST00000225430,0,-1,-1,0,-1,0,1,0
ENST00000503050,0,1,1,0,0,0,1,0
ENST00000614968,0,1,1,0,0,0,1,0
ENST00000361684,0,-1,0,0,0,0,1,0
ENST00000531250,0,0,0,0,0,0,1,0
ENST00000375036,0,1,1,1,0,0,1,0
ENST00000402069,1,0,0,-1,0,0,1,0
ENST00000249289,1,0,0,0,0,0,1,0
ENST00000601390,0,-1,-1,-1,-1,0,1,0
ENST00000469308,0,-1,0,0,0,0,1,0
ENST00000551291,0,-1,0,0,0,0,1,0
ENST00000559254,0,-1,0,-1,-1,0,1,0
ENST00000417088,0,0,-1,0,0,0,1,0
ENST00000431607,1,0,-1,0,0,0,1,0
ENST00000436473,0,-1,-1,-1,-1,0,1,0
ENST00000309244,0,0,1,1,1,0,1,0
ENST00000461060,1,-1,-1,0,-1,0,1,0
ENST00000477404,0,-1,-1,-1,-1,0,1,0
ENST00000523599,0,0,-1,1,0,0,1,0
ENST00000537802,0,0,1,1,0,0,1,0
ENST00000558527,0,0,1,1,0,0,1,0
ENST00000616429,0,1,1,0,0,0,1,0
ENST00000403904,0,-1,-1,0,0,0,1,0
ENST00000417736,0,-1,0,-1,0,0,1,0
ENST00000589913,0,-1,0,-1,-1,0,1,0
ENST00000359297,0,-1,-1,-1,0,0,1,0
ENST00000456046,1,-1,-1,0,0,0,1,0
ENST00000321418,0,-1,-1,-1,-1,0,1,0
ENST00000578921,0,0,1,-1,-1,0,1,0
ENST00000360240,0,1,0,0,0,0,1,0
ENST00000409784,0,0,0,0,0,0,1,0
ENST00000370664,0,-1,1,-1,-1,0,1,0
ENST00000333775,0,0,1,1,0,0,1,0
ENST00000549338,0,0,0,0,0,0,1,0
