,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_001144769,0,0,-1,1,0,1,0,1
NM_014839,-1,1,-1,0,-1,1,0,1
NM_002413,0,1,1,1,1,1,0,1
NM_052929,0,-1,-1,-1,-1,1,0,1
NM_000621,-1,1,0,1,1,1,0,1
NM_016370,0,1,0,1,1,1,0,1
NM_001752,0,0,0,0,0,1,0,1
NM_032866,0,0,1,1,0,1,0,1
NM_173505,0,0,0,1,1,1,0,1
NM_054034,-1,-1,0,-1,0,1,0,1
NM_004843,1,-1,0,-1,-1,1,0,1
NM_182526,-1,1,1,1,1,1,0,1
NM_152219,-1,0,0,-1,0,1,0,1
NR_034104,0,0,0,0,0,1,0,1
NM_025176,-1,-1,-1,1,0,1,0,1
NM_024034,0,1,1,1,1,1,0,1
NM_144658,0,0,-1,-1,0,1,0,1
NR_015430,0,-1,0,1,1,1,0,1
NM_003316,0,1,0,1,1,1,0,1
AK097472,0,-1,1,0,0,1,0,1
NR_120311,0,0,0,0,1,1,0,1
NM_001175,0,1,0,0,1,1,0,1
NM_004594,1,1,1,1,0,1,0,1
NR_001290,1,1,1,1,1,1,0,1
NM_015852,1,0,0,-1,0,1,0,1
NM_080430,-1,1,0,1,1,1,0,1
NR_002829,0,0,0,0,0,1,0,1
NM_001873,-1,1,1,1,1,1,0,1
NM_001290268,0,-1,0,-1,-1,1,0,1
NM_016588,0,-1,-1,1,0,1,0,1
NM_012445,-1,-1,1,1,0,1,0,1
NM_138411,0,-1,-1,1,-1,1,0,1
NM_018034,0,0,-1,0,0,1,0,1
NM_001456,0,-1,1,-1,-1,1,0,1
NM_020775,0,1,1,0,1,1,0,1
NM_001145033,-1,0,-1,-1,-1,1,0,1
NM_004906,0,0,0,0,0,1,0,1
NM_005221,0,-1,-1,-1,-1,1,0,1
NM_019120,-1,-1,-1,-1,-1,1,0,1
NM_001173990,0,1,1,1,1,1,0,1
DR761951,0,0,0,0,0,1,0,1
XR_425130,0,-1,-1,-1,-1,1,0,1
NM_032461,0,0,0,0,0,1,0,1
NM_001007253,0,1,1,-1,-1,1,0,1
NM_198159,-1,0,1,1,1,1,0,1
NM_198129,0,1,1,0,1,1,0,1
NM_001282224,0,0,-1,-1,0,1,0,1
NM_016235,-1,-1,0,0,-1,1,0,1
NM_007112,0,0,1,-1,0,1,0,1
NM_001291860,0,0,1,-1,1,1,0,1
NM_001116,0,0,0,1,0,1,0,1
NM_001282213,-1,-1,-1,1,-1,1,0,1
NM_000201,1,0,1,0,-1,1,0,1
AK097943,0,0,0,0,0,1,0,1
XM_005263848,0,0,1,-1,0,1,0,1
NM_199461,-1,1,1,1,1,1,0,1
NM_014460,0,1,0,1,0,1,0,1
NM_020809,-1,-1,-1,0,1,1,0,1
NM_002429,1,0,1,0,1,1,0,1
BC031314,0,0,1,1,1,1,0,1
NM_001017920,1,0,-1,1,-1,1,0,1
NM_002982,1,0,0,-1,-1,1,0,1
NM_001105207,0,-1,1,-1,-1,1,0,1
NM_003574,0,0,0,1,-1,1,0,1
NM_004101,-1,0,0,0,0,1,0,1
NM_176825,0,0,0,0,0,1,0,1
NM_001267716,0,1,0,1,0,1,0,1
NM_002923,1,0,-1,-1,0,1,0,1
NM_173485,-1,1,0,0,0,1,0,1
NM_001167,-1,1,0,0,0,1,0,1
NM_001032731,0,1,0,0,1,1,0,1
NM_001293070,0,0,-1,1,1,1,0,1
NM_023073,0,0,-1,0,0,1,0,1
NR_110219,1,1,1,1,0,1,0,1
NM_152288,0,0,0,0,-1,1,0,1
NM_006464,-1,1,1,1,0,1,0,1
NM_001195520,1,1,1,1,1,1,0,1
NM_005651,0,0,1,0,1,1,0,1
NR_126341,0,0,0,0,0,1,0,1
NM_017709,0,1,1,1,0,1,0,1
NR_015447,-1,-1,-1,-1,-1,1,0,1
NR_104326,1,1,1,1,1,1,0,1
NM_001145031,0,-1,1,-1,-1,1,0,1
NM_145239,0,0,1,1,-1,1,0,1
NR_102756,-1,0,0,1,1,1,0,1
NR_036533,0,1,1,1,1,1,0,1
NM_001105209,0,-1,1,-1,-1,1,0,1
NM_002473,0,1,1,0,0,1,0,1
NM_001243657,0,1,1,1,1,1,0,1
AK296534,-1,-1,-1,1,-1,1,0,1
NM_015713,0,1,1,1,0,1,0,1
NM_001271829,0,0,0,0,0,1,0,1
NM_015093,0,0,0,0,-1,1,0,1
NM_198968,0,1,1,1,1,1,0,1
NM_001198834,0,0,-1,1,0,1,0,1
XM_006719676,0,1,0,1,1,1,0,1
NM_005016,0,-1,0,0,-1,1,0,1
NM_016606,0,0,0,1,-1,1,0,1
NR_104228,0,-1,-1,0,0,1,0,1
NR_122124,0,1,1,1,1,1,0,1
