,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
PQ loop repeat containing 2,0,1,0,1,0,1,1,1
ring finger protein 112,0,1,1,1,1,1,1,1
"synuclein, alpha (non A4 component of amyloid precursor)",0,1,-1,1,1,1,1,1
CD2 molecule,-1,1,0,0,1,1,1,1
cathepsin K,1,-1,1,-1,-1,1,1,1
granulin,1,1,1,0,0,1,1,1
ribosomal protein S20 pseudogene 27,1,0,0,0,0,1,1,1
microfibrillar-associated protein 4,1,0,1,0,-1,1,1,1
neuromedin B,-1,-1,0,-1,-1,1,1,1
"plasminogen activator, urokinase",1,-1,1,-1,-1,1,1,1
cathepsin B,0,1,1,0,-1,1,1,1
"major histocompatibility complex, class I, B",0,0,-1,-1,-1,1,1,1
"polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa",1,0,1,1,1,1,1,1
Rho guanine nucleotide exchange factor (GEF) 40,0,-1,0,-1,-1,1,1,1
cathepsin F,-1,1,1,1,0,1,1,1
coiled-coil domain containing 149,0,0,0,0,1,1,1,1
"major histocompatibility complex, class I, A",1,0,0,0,0,1,1,1
"RNA, 28S ribosomal 5",0,1,1,1,1,1,1,1
transmembrane 4 L six family member 1,1,0,0,0,1,1,1,1
"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",0,0,1,0,0,1,1,1
"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",0,0,0,0,0,1,1,1
WNT1 inducible signaling pathway protein 2,0,1,0,0,0,1,1,1
lnc-MINA-3:2,-1,1,0,1,0,1,1,1
G protein-coupled receptor 56,-1,0,1,-1,-1,1,1,1
erythrocyte membrane protein band 4.1-like 1,0,1,1,1,1,1,1,1
ribosomal protein L38,1,0,0,0,-1,1,1,1
mitochondrial ribosomal protein S6,1,0,1,0,1,1,1,1
"RNA, 7SK small nuclear",0,0,0,1,-1,1,1,1
"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)",-1,-1,-1,0,-1,1,1,1
"interleukin 36, beta",0,0,0,-1,0,1,1,1
lnc-WWC2-1:1,0,1,1,1,0,1,1,1
"adenosine deaminase, tRNA-specific 2",0,1,0,1,0,1,1,1
insulin-like growth factor binding protein 7,1,0,1,-1,1,1,1,1
"collagen, type VI, alpha 1",0,-1,1,-1,0,1,1,1
chromosome 11 open reading frame 31,0,0,-1,-1,-1,1,1,1
testis expressed 41 (non-protein coding),0,1,0,1,0,1,1,1
v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B,0,1,0,0,0,1,1,1
"secreted protein, acidic, cysteine-rich (osteonectin)",-1,-1,1,1,0,1,1,1
doublecortin-like kinase 1,0,-1,1,0,-1,1,1,1
"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",0,1,-1,1,0,1,1,1
small ILF3/NF90-associated RNA B2,0,1,1,1,1,1,1,1
dermokine,0,0,0,1,0,1,1,1
MCF.2 cell line derived transforming sequence-like,0,1,1,1,0,1,1,1
"RAB7B, member RAS oncogene family",-1,-1,1,-1,-1,1,1,1
"fibroblast activation protein, alpha",-1,-1,-1,-1,0,1,1,1
"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",0,1,-1,-1,-1,1,1,1
leprecan-like 2,1,0,0,1,-1,1,1,1
small ILF3/NF90-associated RNA A3,0,1,1,1,1,1,1,1
"coordinator of PRMT5, differentiation stimulator",0,1,1,1,0,1,1,1
"ATP-binding cassette, sub-family A (ABC1), member 1",1,-1,0,-1,-1,1,1,1
chromosome 5 open reading frame 63,0,1,1,1,0,1,1,1
"actin, beta",1,0,1,1,0,1,1,1
small ILF3/NF90-associated RNA G2,0,1,1,1,1,1,1,1
v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B,0,1,0,0,0,1,1,1
ubiquitin C,0,1,1,1,1,1,1,1
phospholysine phosphohistidine inorganic pyrophosphate phosphatase,-1,1,1,1,0,1,1,1
"phosphatidylinositol glycan anchor biosynthesis, class T",0,0,1,-1,0,1,1,1
"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",0,0,-1,-1,1,1,1,1
latexin,-1,-1,1,1,0,1,1,1
"scavenger receptor class B, member 1",0,1,0,1,0,1,1,1
"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",0,1,0,1,0,1,1,1
"major histocompatibility complex, class I, B",0,-1,-1,-1,-1,1,1,1
calreticulin,1,0,1,0,1,1,1,1
"complement component 1, r subcomponent",1,0,1,-1,-1,1,1,1
ribosomal protein S2,1,0,1,0,1,1,1,1
two pore segment channel 1,-1,0,0,1,-1,1,1,1
