,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
dystonin,0,0,-1,1,0,1,0,1
lnc-SH3BP4-3:1,0,0,0,0,-1,1,0,1
lipid phosphate phosphatase-related protein type 4,-1,1,-1,0,-1,1,0,1
lnc-EPSTI1-3:1,0,0,0,0,0,1,0,1
microsomal glutathione S-transferase 2,0,1,1,1,1,1,0,1
forkhead-associated (FHA) phosphopeptide binding domain 1,0,-1,-1,-1,-1,1,0,1
"5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled",-1,1,0,1,1,1,0,1
"RAB9B, member RAS oncogene family",0,1,0,1,1,1,0,1
catalase,0,0,0,0,0,1,0,1
cingulin-like 1,0,0,1,1,0,1,0,1
lnc-HDAC9-3:1,-1,-1,-1,0,0,1,0,1
ankyrin repeat domain 29,0,0,0,1,1,1,0,1
fibronectin 1,-1,-1,0,-1,0,1,0,1
"interleukin 27 receptor, alpha",1,-1,0,-1,-1,1,0,1
transmembrane protein 229B,-1,1,1,1,1,1,0,1
"gap junction protein, delta 3, 31.9kDa",-1,0,0,-1,0,1,0,1
long intergenic non-protein coding RNA 1260,0,0,0,0,0,1,0,1
ninein-like,-1,-1,-1,1,0,1,0,1
ganglioside induced differentiation associated protein 1-like 1,0,1,1,1,1,1,0,1
dedicator of cytokinesis 11,0,0,-1,-1,0,1,0,1
lnc-C14orf118-1:1,0,-1,-1,-1,-1,1,0,1
long intergenic non-protein coding RNA 1550,0,-1,0,1,1,1,0,1
tetratricopeptide repeat domain 3,0,1,0,1,1,1,0,1
lnc-CDIPT-1:7,0,-1,1,0,0,1,0,1
lnc-OBFC2A-1:1,0,0,0,0,1,1,0,1
uncharacterized LOC102724927,0,0,0,0,1,1,0,1
Rho GDP dissociation inhibitor (GDI) beta,0,1,0,0,1,1,0,1
"solute carrier family 9, subfamily A (NHE5, cation proton antiporter 5), member 5",1,1,1,1,0,1,0,1
"small nucleolar RNA, C/D box 116-19",1,1,1,1,1,1,0,1
zinc finger protein 117,1,0,0,-1,0,1,0,1
selenoprotein M,-1,1,0,1,1,1,0,1
"purinergic receptor P2X, ligand gated ion channel, 6 pseudogene",0,0,0,0,0,1,0,1
carboxypeptidase E,-1,1,1,1,1,1,0,1
"family with sequence similarity 65, member C",0,-1,0,-1,-1,1,0,1
neuritin 1,0,-1,-1,1,0,1,0,1
"spondin 2, extracellular matrix protein",-1,-1,1,1,0,1,0,1
"family with sequence similarity 71, member E1",0,-1,-1,1,-1,1,0,1
WD repeat domain 70,0,0,-1,0,0,1,0,1
"filamin A, alpha",0,-1,1,-1,-1,1,0,1
KIAA1324,0,1,1,0,1,1,0,1
chromosome 11 open reading frame 96,-1,0,-1,-1,-1,1,0,1
Wilms tumor 1 associated protein,0,0,0,0,0,1,0,1
distal-less homeobox 5,0,-1,-1,-1,-1,1,0,1
protocadherin beta 8,-1,-1,-1,-1,-1,1,0,1
transmembrane protein 216,0,1,1,1,1,1,0,1
lnc-NPBWR1-1:1,0,0,0,0,0,1,0,1
"SPANX family, member B1",0,0,0,0,0,1,0,1
"endogenous retrovirus group 3, member 1",0,1,1,-1,-1,1,0,1
microphthalmia-associated transcription factor,-1,0,1,1,1,1,0,1
"laminin, alpha 3",0,1,1,0,1,1,0,1
"ATPase, Cu++ transporting, alpha polypeptide",0,0,-1,-1,0,1,0,1
"G protein-coupled receptor, class C, group 5, member B",-1,-1,0,0,-1,1,0,1
thrombospondin 3,0,0,1,-1,0,1,0,1
heparan sulfate proteoglycan 2,0,0,1,-1,1,1,0,1
lnc-LRRIQ1-1:2,0,-1,0,-1,-1,1,0,1
adenylate cyclase 9,0,0,0,1,0,1,0,1
NDRG family member 2,-1,-1,-1,1,-1,1,0,1
intercellular adhesion molecule 1,1,0,1,0,-1,1,0,1
long intergenic non-protein coding RNA 1550,0,0,0,0,0,1,0,1
basic proline-rich protein-like,0,0,1,-1,0,1,0,1
nanos homolog 1 (Drosophila),-1,1,1,1,1,1,0,1
lnc-CLVS1-1:4,0,0,-1,1,0,1,0,1
"cold shock domain containing C2, RNA binding",0,1,0,1,0,1,0,1
Rho GTPase activating protein 20,-1,-1,-1,0,1,1,0,1
matrix metallopeptidase 19,1,0,1,0,1,1,0,1
lnc-C14orf37-1:1,0,0,1,1,1,1,0,1
death associated protein-like 1,1,0,-1,1,-1,1,0,1
chemokine (C-C motif) ligand 2,1,0,0,-1,-1,1,0,1
"laminin, alpha 4",0,-1,1,-1,-1,1,0,1
"VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa",0,0,0,1,-1,1,0,1
lnc-GPR3-2:1,0,1,0,1,0,1,0,1
coagulation factor II (thrombin) receptor-like 2,-1,0,0,0,0,1,0,1
"sulfotransferase family, cytosolic, 1C, member 2",0,0,0,0,0,1,0,1
zinc finger protein 728,0,1,0,1,0,1,0,1
regulator of G-protein signaling 2,1,0,-1,-1,0,1,0,1
teashirt zinc finger homeobox 2,-1,1,0,0,0,1,0,1
"X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase",-1,1,0,0,0,1,0,1
"2'-5'-oligoadenylate synthetase 2, 69/71kDa",0,1,0,0,1,1,0,1
chimerin 2,0,0,-1,1,1,1,0,1
