,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_014020,1,1,1,1,1,0,0,0
NM_001103161,1,1,1,1,1,-1,-1,-1
NM_004263,1,1,1,1,1,0,0,0
NR_033957,1,1,1,1,1,0,0,0
NM_014693,1,1,1,1,1,0,0,0
NM_018330,1,1,1,1,1,0,0,0
NR_001290,1,1,1,1,1,1,0,1
NM_002196,1,1,1,1,1,0,0,0
NM_005486,1,1,1,1,1,-1,0,-1
NM_032298,1,1,1,1,1,0,0,0
NM_213599,1,1,1,1,1,0,0,0
NM_014339,1,1,1,1,1,0,0,0
NM_001137560,1,1,1,1,1,0,0,0
NM_014583,1,1,1,1,1,0,0,0
NM_001173476,1,1,1,1,1,0,0,0
NM_021808,1,1,1,1,1,0,0,0
NR_003214,1,1,1,1,1,0,0,0
NM_024571,1,1,1,1,1,0,0,0
NM_019114,1,1,1,1,1,0,0,0
NM_001195520,1,1,1,1,1,1,0,1
NR_104326,1,1,1,1,1,1,0,1
NM_001671,1,1,1,1,1,0,0,0
NM_030630,1,1,1,1,1,0,0,0
NM_004263,1,1,1,1,1,0,0,0
NM_033259,1,1,1,1,1,0,0,0
NM_024963,1,1,1,1,1,0,0,0
NM_024789,1,1,1,1,1,1,0,1
NM_001099652,1,1,1,1,1,0,0,0
NM_004935,1,1,1,1,1,0,0,0
NM_002846,1,1,1,1,1,0,0,0
NM_032883,1,1,1,1,1,0,1,1
NM_001257291,1,1,1,1,1,0,0,0
NM_001007125,1,1,1,1,1,0,0,0
NM_003970,1,1,1,1,1,0,0,0
NM_024111,1,1,1,1,1,-1,-1,-1
NM_001127364,1,1,1,1,1,0,0,0
NM_001143959,1,1,1,1,1,0,0,0
NM_145306,1,1,1,1,1,0,0,0
NM_080725,1,1,1,1,1,-1,-1,-1
NM_033512,1,1,1,1,1,0,0,0
NM_001146334,1,1,1,1,1,0,0,0
NM_001037132,1,1,1,1,1,0,0,0
NM_004588,1,1,1,1,1,0,0,0
NR_024424,1,1,1,1,1,0,0,0
NM_001193336,1,1,1,1,1,0,0,0
NM_001195076,1,1,1,1,1,0,0,0
NM_001257291,1,1,1,1,1,1,0,1
NM_015881,1,1,1,1,1,0,0,-1
NR_109846,1,1,1,1,1,0,0,0
NM_014696,1,1,1,1,1,0,0,0
NM_017565,1,1,1,1,1,0,0,0
NM_006366,1,1,1,1,1,0,0,0
NM_178562,1,1,1,1,1,0,0,0
NM_021963,1,1,1,1,1,0,0,0
NM_198511,1,1,1,1,1,1,0,1
NM_003060,1,1,1,1,1,0,0,0
NM_003612,1,1,1,1,1,0,0,0
NM_012338,1,1,1,1,1,0,0,0
NM_031917,1,1,1,1,1,0,0,0
NM_004476,1,1,1,1,1,0,0,0
NM_144586,1,1,1,1,1,0,0,0
NM_021175,1,1,1,1,1,0,0,0
NM_018400,1,1,1,1,1,0,0,0
NM_002847,1,1,1,1,1,0,0,0
NR_003215,1,1,1,1,1,0,0,0
XR_159025,1,1,1,1,1,0,0,0
NM_001958,1,1,1,1,1,0,0,0
NM_012479,1,1,1,1,1,0,0,0
NM_003662,1,1,1,1,1,0,-1,0
NM_020804,1,1,1,1,1,0,0,0
NM_001932,1,1,1,1,1,-1,0,0
NM_014903,1,1,1,1,1,0,0,0
NM_024503,1,1,1,1,1,0,0,0
NM_004181,1,1,1,1,1,0,1,0
NM_182970,1,1,1,1,1,0,0,0
NM_054033,1,1,1,1,1,0,0,0
NM_182919,1,1,1,1,1,0,0,0
NM_001012334,1,1,1,1,1,0,0,0
NM_031410,1,1,1,1,1,0,0,0
NM_004210,1,1,1,1,1,0,0,0
NM_001290030,1,1,1,1,1,1,0,1
NM_001248,1,1,1,1,1,0,0,0
NM_015239,1,1,1,1,1,0,0,0
NM_005909,1,1,1,1,1,0,-1,0
NM_001979,1,1,1,1,1,0,0,0
NM_000162,1,1,1,1,1,1,0,1
NM_002395,1,1,1,1,1,0,0,0
NM_203401,1,1,1,1,1,-1,-1,-1
NM_017998,1,1,1,1,1,-1,0,-1
NR_003491,1,1,1,1,1,0,0,0
NM_013259,1,1,1,1,1,0,0,0
NM_145893,1,1,1,1,1,0,0,0
NM_018718,1,1,1,1,1,0,0,0
NM_018487,1,1,1,1,1,0,0,0
NM_001098411,1,1,1,1,1,0,0,1
NM_170600,1,1,1,1,1,0,0,1
NM_153374,1,1,1,1,1,0,0,0
NM_002718,1,1,1,1,1,0,0,0
NM_030568,1,1,1,1,1,0,0,0
NM_020437,1,1,1,1,1,0,0,0
NM_178562,1,1,1,1,1,0,0,0
NM_198391,1,1,1,1,1,0,0,0
NM_178562,1,1,1,1,1,0,0,0
NM_012281,1,1,1,1,1,0,0,0
NM_002553,1,1,1,1,1,0,-1,0
NR_003221,1,1,1,1,1,0,0,0
NM_021161,1,1,1,1,1,0,0,0
NM_007037,1,1,1,1,1,0,0,0
NM_001103167,1,1,1,1,1,0,0,0
NM_181718,1,1,1,1,1,0,0,1
NM_014960,1,1,1,1,1,0,0,0
NM_152999,1,1,1,1,1,0,0,0
NM_001004333,1,1,1,1,1,0,1,1
NM_014399,1,1,1,1,1,0,0,0
NM_006393,1,1,1,1,1,0,0,0
NM_014339,1,1,1,1,1,0,0,0
NM_014339,1,1,1,1,1,0,0,0
NM_020168,1,1,1,1,1,0,0,0
NM_139072,1,1,1,1,1,0,0,0
NM_006288,1,1,1,1,1,0,0,0
NM_025246,1,1,1,1,1,-1,0,-1
NM_014702,1,1,1,1,1,0,0,0
NM_003654,1,1,1,1,1,0,0,0
NR_024065,1,1,1,1,1,0,0,0
NM_005704,1,1,1,1,1,0,0,0
NR_004383,1,1,1,1,1,1,0,1
NM_003549,1,1,1,1,1,0,0,0
