,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_001165,1,-1,0,-1,-1,1,0,0
NM_002999,1,-1,1,0,-1,-1,0,0
NM_004843,1,-1,0,-1,-1,1,0,1
NM_003213,1,-1,0,-1,-1,-1,0,0
NR_110453,1,-1,-1,-1,-1,-1,-1,0
NM_000189,1,-1,1,-1,0,1,0,0
NM_000396,1,-1,1,-1,-1,1,1,1
NM_014573,1,-1,0,0,0,-1,0,-1
NR_103714,1,-1,-1,-1,0,-1,-1,0
NM_002658,1,-1,1,-1,-1,1,1,1
NM_024787,1,-1,-1,0,0,-1,0,0
NM_203290,1,-1,0,-1,0,-1,-1,0
NM_001322058,1,-1,-1,0,0,1,0,0
NM_005189,1,-1,0,-1,-1,-1,0,-1
lnc-ARRDC3-1:1,1,-1,0,-1,0,-1,-1,0
NM_032036,1,-1,0,0,0,1,0,0
NM_020530,1,-1,-1,-1,-1,-1,0,0
NM_000899,1,-1,0,1,0,1,0,0
NM_138689,1,-1,0,-1,0,-1,0,-1
XR_171111,1,-1,-1,-1,0,-1,0,-1
NR_136166,1,-1,0,-1,-1,-1,-1,0
NM_002090,1,-1,-1,-1,0,-1,0,0
NM_001025366,1,-1,-1,-1,-1,-1,-1,-1
NM_001008393,1,-1,0,0,0,-1,-1,0
NM_001006617,1,-1,-1,-1,0,-1,0,-1
NM_003596,1,-1,0,-1,0,1,0,0
NM_005502,1,-1,0,-1,-1,1,0,1
NM_001145047,1,-1,0,-1,0,-1,-1,-1
ENST00000425771,1,-1,-1,-1,0,-1,0,0
NM_000204,1,-1,0,-1,-1,1,0,0
NM_001142522,1,-1,1,-1,0,-1,0,-1
NM_022490,1,-1,0,0,0,-1,0,-1
NM_003107,1,-1,0,-1,-1,1,0,0
NM_006745,1,-1,-1,-1,0,-1,0,-1
ENST00000409736,1,-1,0,-1,0,-1,0,0
NM_017459,1,-1,0,-1,-1,-1,-1,-1
NM_001291913,1,-1,0,0,0,-1,0,0
NM_005502,1,-1,0,-1,-1,1,1,1
NM_002467,1,-1,-1,-1,0,-1,-1,-1
NM_001024,1,-1,-1,0,-1,1,1,1
NM_007209,1,-1,-1,0,-1,1,1,0
NM_024297,1,-1,0,0,0,1,0,0
NM_000996,1,-1,0,0,0,1,1,1
NM_005253,1,-1,-1,-1,-1,1,-1,1
NM_024680,1,-1,0,-1,0,-1,0,-1
NM_002840,1,-1,-1,-1,-1,-1,0,-1
NM_033251,1,-1,0,0,0,1,1,1
NM_001145047,1,-1,0,-1,0,-1,0,-1
NM_213651,1,-1,0,-1,0,1,0,1
NM_005746,1,-1,-1,0,-1,-1,-1,0
NM_004414,1,-1,-1,-1,-1,-1,-1,-1
NM_001130677,1,-1,1,-1,-1,-1,0,0
NM_017858,1,-1,0,-1,0,-1,-1,-1
NM_021129,1,-1,-1,0,0,-1,0,-1
NM_013282,1,-1,-1,-1,-1,-1,-1,-1
NM_000993,1,-1,0,0,-1,1,1,1
NM_001007074,1,-1,-1,0,0,1,1,1
NM_021129,1,-1,-1,0,0,-1,0,-1
NM_012323,1,-1,-1,-1,-1,-1,0,0
NM_032943,1,-1,0,0,-1,1,0,1
NM_032876,1,-1,-1,-1,-1,-1,0,0
NM_015544,1,-1,0,-1,-1,-1,0,0
NM_022551,1,-1,0,0,0,1,1,1
NM_001364292,1,-1,-1,-1,0,-1,0,0
NM_003566,1,-1,-1,-1,-1,1,0,1
NM_138689,1,-1,0,-1,0,-1,-1,-1
NM_139314,1,-1,-1,-1,-1,-1,0,-1
NM_000313,1,-1,1,-1,0,1,0,1
NR_109780,1,-1,-1,0,-1,-1,0,0
NM_014670,1,-1,0,-1,0,-1,-1,-1
NM_003312,1,-1,1,1,0,-1,-1,0
NM_145032,1,-1,-1,-1,-1,-1,-1,-1
NM_001014,1,-1,0,0,0,1,1,1
NM_015065,1,-1,-1,1,-1,-1,0,-1
NM_000978,1,-1,0,0,0,1,1,1
NM_019042,1,-1,0,0,-1,-1,-1,-1
NM_001201329,1,-1,-1,-1,-1,1,0,0
NR_152748,1,-1,-1,0,0,1,0,1
NM_001005377,1,-1,-1,-1,-1,-1,-1,0
NM_012310,1,-1,-1,-1,0,-1,0,-1
NM_006379,1,-1,1,0,0,1,0,1
NR_002715,1,-1,-1,0,-1,1,0,0
NM_001025370,1,-1,-1,-1,-1,-1,-1,0
NM_032454,1,-1,-1,-1,0,-1,0,0
NM_003956,1,-1,-1,0,-1,1,1,1
NM_001330071,1,-1,-1,-1,-1,1,0,0
NM_001242359,1,-1,-1,-1,0,1,0,1
NM_004911,1,-1,1,-1,0,-1,-1,0
TCONS_l2_00009118,1,-1,1,0,0,1,1,0
NM_001030,1,-1,-1,-1,-1,1,1,0
THC2616237,1,-1,-1,-1,-1,-1,0,0
NR_003098,1,-1,-1,0,0,-1,-1,-1
NR_038430,1,-1,0,-1,0,-1,0,-1
NM_001354638,1,-1,0,0,0,-1,0,-1
NM_003129,1,-1,-1,-1,0,-1,0,0
NM_016639,1,-1,1,-1,-1,-1,0,-1
NM_003380,1,-1,1,-1,-1,1,1,1
NM_203434,1,-1,0,-1,0,1,0,1
NM_053275,1,-1,-1,-1,0,1,1,1
NM_021830,1,-1,0,-1,0,-1,0,-1
NM_001733,1,-1,1,-1,-1,1,1,1
