,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
PEPD,0,0,1,0,0,0,1,0
RPL37A,1,-1,-1,0,-1,0,1,0
RPL3,0,-1,-1,0,0,0,1,0
GAPDH,0,0,1,0,0,0,1,0
CALU,0,-1,1,-1,0,0,1,0
MIF,1,0,1,0,0,0,1,0
LAMTOR5,0,0,0,0,0,0,1,0
UBL5,0,-1,0,0,0,0,1,0
TSPO,0,0,1,0,-1,0,1,0
RPS7,0,-1,0,0,-1,0,1,0
RPL11,0,-1,-1,-1,-1,0,1,0
SLC9A3R1,0,-1,-1,1,-1,0,1,0
ATP5O,0,0,0,1,1,0,1,0
MYOF,0,0,1,-1,-1,0,1,0
GSTP1,0,-1,1,0,1,0,1,0
OCIAD2,1,0,1,-1,0,0,1,0
YWHAB,0,0,0,1,0,0,1,0
RPSAP58,0,0,0,-1,-1,0,1,0
C20orf24,0,0,0,0,0,0,1,0
BAG6,0,0,0,0,0,0,1,0
POLD4,1,0,1,0,0,0,1,0
RPS25,0,-1,-1,-1,-1,0,1,0
BASP1,0,1,-1,0,0,0,1,0
RPL30,0,0,0,0,-1,0,1,0
RPL23A,0,-1,0,0,-1,0,1,0
XLOC_l2_005557,1,0,0,0,0,0,1,0
RPL15,0,-1,0,-1,0,0,1,0
CSTB,0,0,0,0,0,0,1,0
SLC2A11,0,1,-1,1,0,0,1,0
NDUFB2,0,0,0,1,0,0,1,0
HSP90AA1,0,0,0,0,0,0,1,0
NOTCH2,0,-1,-1,-1,-1,0,1,0
TRAPPC1,0,0,0,0,1,0,1,0
RPL39,0,-1,-1,-1,-1,0,1,0
PTK6,0,1,0,1,1,0,1,0
HSPB1,0,-1,1,-1,0,0,1,0
RPL18,0,-1,-1,0,0,0,1,0
TKT,0,0,0,0,0,0,1,0
VAT1,-1,1,1,-1,0,0,1,0
CNPY2,0,1,1,0,0,0,1,0
NDUFS5,0,0,0,0,0,0,1,0
RABAC1,0,0,0,0,1,0,1,0
FTH1,0,1,1,1,0,0,1,0
PSMB7,0,-1,-1,-1,0,0,1,0
SNX3,0,-1,0,0,0,0,1,0
MGST1,0,1,0,1,1,0,1,0
CAPN2,0,-1,0,0,0,0,1,0
TPP1,0,0,0,-1,-1,0,1,0
UBA52,0,0,-1,-1,0,0,1,0
NUPR1,-1,-1,0,1,-1,0,1,0
NGFRAP1,0,1,0,1,1,0,1,0
XLOC_l2_010508,0,0,0,-1,-1,0,1,0
UBC,-1,0,0,1,1,0,1,0
XLOC_l2_012953,0,1,-1,0,0,0,1,0
CD151,-1,0,1,0,1,0,1,0
YIF1A,0,0,0,-1,1,0,1,0
TADA3,0,0,0,0,1,0,1,0
SPHK1,0,-1,-1,-1,-1,0,1,0
ATP6V0C,0,1,1,1,1,0,1,0
BRI3,0,0,0,0,-1,0,1,0
CDK2AP2,0,0,1,1,1,0,1,0
LARP6,0,1,0,1,1,0,1,0
B2M,0,0,-1,-1,-1,0,1,0
ATP6,-1,1,0,1,1,0,1,0
CTTN,0,0,1,0,1,0,1,0
