,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_007300,0,0,1,0,1,-1,-1,-1
NM_016498,0,-1,1,0,1,-1,-1,-1
NM_016095,0,0,1,0,1,-1,-1,-1
NM_201555,1,0,-1,-1,1,-1,-1,-1
NM_002631,0,0,1,-1,1,-1,-1,-1
NM_181578,0,0,1,0,0,-1,-1,-1
NM_001103161,1,1,1,1,1,-1,-1,-1
NM_014708,0,0,0,-1,1,-1,-1,-1
NM_004864,-1,-1,1,-1,0,-1,-1,-1
NM_004237,1,0,1,-1,1,-1,-1,-1
NM_000946,-1,1,0,1,0,-1,-1,-1
NM_015190,0,0,0,0,0,-1,-1,-1
NM_022743,0,0,0,1,1,-1,-1,-1
NM_016448,0,1,1,-1,1,-1,-1,-1
NM_005441,1,0,1,1,1,-1,-1,-1
NM_000270,0,-1,-1,0,0,-1,-1,-1
NM_006636,-1,0,0,-1,1,-1,-1,-1
NM_138341,0,0,1,0,1,-1,-1,-1
NM_005322,1,-1,0,0,1,-1,-1,-1
NM_181801,0,0,1,-1,1,-1,-1,-1
NM_005225,0,0,1,0,1,-1,-1,-1
NM_022818,0,0,0,1,1,-1,-1,-1
NM_181701,0,0,0,0,-1,-1,-1,-1
NM_002691,0,0,1,0,1,-1,-1,-1
NM_006607,1,-1,0,-1,1,-1,-1,-1
NM_032872,0,1,0,1,0,-1,-1,-1
NM_003368,0,-1,-1,0,0,-1,-1,-1
NM_005098,0,0,0,0,0,-1,-1,-1
NM_004260,0,1,1,1,1,-1,-1,-1
NM_014165,0,0,0,0,1,-1,-1,-1
NM_017615,0,-1,-1,0,0,-1,-1,-1
NM_001012271,1,1,1,-1,1,-1,-1,-1
NM_017443,0,0,0,0,0,-1,-1,-1
NM_014631,0,-1,-1,-1,-1,-1,-1,-1
NM_024642,0,1,0,1,0,-1,-1,-1
NM_001256910,0,-1,0,-1,1,-1,-1,-1
NM_005915,0,-1,-1,-1,0,-1,-1,-1
NM_053056,0,0,0,-1,0,-1,-1,-1
NM_001040445,0,0,0,0,1,-1,-1,-1
BC038733,0,-1,-1,-1,0,-1,-1,-1
NM_003538,0,0,1,1,0,-1,-1,-1
AY251274,0,0,1,1,0,-1,-1,-1
NM_181471,1,0,0,0,0,-1,-1,-1
NM_030928,0,1,1,0,1,-1,-1,-1
NM_003537,0,0,1,-1,1,-1,-1,-1
NM_022092,0,0,1,1,1,-1,-1,-1
NM_017947,0,0,1,0,1,-1,-1,-1
NM_020675,0,0,1,0,1,-1,-1,-1
NM_024945,0,0,-1,-1,-1,-1,-1,-1
NM_007086,0,0,1,-1,1,-1,-1,-1
NM_003020,0,1,1,1,1,-1,-1,-1
NM_014321,0,0,1,0,1,-1,-1,-1
NM_018390,0,1,1,1,0,-1,-1,-1
NM_017612,0,0,-1,0,-1,-1,-1,-1
NM_019058,-1,0,-1,1,0,-1,-1,-1
NR_024530,0,-1,-1,-1,0,-1,-1,-1
NM_004134,0,-1,0,-1,0,-1,-1,-1
NM_004398,0,-1,-1,-1,0,-1,-1,-1
XM_006716562,0,1,1,0,-1,-1,-1,-1
NM_182687,0,1,1,1,1,-1,-1,-1
NM_014230,0,0,0,0,0,-1,-1,-1
NM_005381,0,-1,0,0,1,-1,-1,-1
NM_031459,1,0,0,0,0,-1,-1,-1
NM_025108,0,1,1,-1,1,-1,-1,-1
NM_002539,0,0,0,-1,1,-1,-1,-1
NM_006739,0,0,1,0,1,-1,-1,-1
NM_006303,0,0,0,-1,1,-1,-1,-1
NM_004219,1,-1,0,-1,1,-1,-1,-1
NM_001083961,0,1,1,1,1,-1,-1,-1
NM_024629,1,-1,1,0,1,-1,-1,-1
NM_006351,0,0,0,0,1,-1,-1,-1
NM_024111,1,1,1,1,1,-1,-1,-1
NM_001040619,0,-1,-1,-1,-1,-1,-1,-1
NM_006328,0,-1,-1,0,0,-1,-1,-1
NM_001025366,1,-1,-1,-1,-1,-1,-1,-1
NM_033417,0,0,1,0,0,-1,-1,-1
NM_001004128,0,1,0,0,1,-1,-1,-1
NM_031445,0,-1,0,-1,0,-1,-1,-1
NM_078481,-1,0,1,-1,0,-1,-1,-1
NM_021913,0,1,1,1,0,-1,-1,-1
NM_021067,0,0,1,0,1,-1,-1,-1
NM_014176,0,1,1,0,1,-1,-1,-1
NM_015169,0,-1,0,-1,0,-1,-1,-1
NM_080725,1,1,1,1,1,-1,-1,-1
NM_021018,0,-1,1,-1,0,-1,-1,-1
NM_000179,0,0,0,0,0,-1,-1,-1
NR_024607,1,1,1,0,0,-1,-1,-1
NM_000894,0,0,0,0,0,-1,-1,-1
NM_017779,0,0,1,1,1,-1,-1,-1
NM_007266,1,-1,0,-1,0,-1,-1,-1
NM_001018067,0,-1,0,0,0,-1,-1,-1
NM_000026,0,-1,0,-1,0,-1,-1,-1
AF176921,0,-1,-1,-1,-1,-1,-1,-1
NM_003920,0,1,1,0,1,-1,-1,-1
NM_003536,0,-1,1,-1,0,-1,-1,-1
NM_004083,0,0,1,0,0,-1,-1,-1
NM_033222,0,-1,-1,-1,-1,-1,-1,-1
NM_001079525,0,-1,1,-1,0,-1,-1,-1
NM_182976,0,-1,-1,-1,-1,-1,-1,-1
NM_005879,0,0,1,-1,1,-1,-1,-1
NM_019072,0,0,0,1,0,-1,-1,-1
NM_017459,1,-1,0,-1,-1,-1,-1,-1
NM_006711,0,0,1,0,0,-1,-1,-1
NM_006462,-1,1,1,0,0,-1,-1,-1
NM_018410,1,0,1,-1,1,-1,-1,-1
NM_014670,0,-1,0,-1,0,-1,-1,-1
NM_003540,0,1,1,0,1,-1,-1,-1
NM_001004419,0,-1,0,0,0,-1,-1,-1
NM_181726,0,-1,0,-1,-1,-1,-1,-1
NM_001256270,0,1,1,-1,1,-1,-1,-1
