,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
"ChaC, cation transport regulator homolog 2 (E. coli)",0,0,0,0,1,-1,0,-1
BCL2-associated X protein,0,1,1,0,1,-1,0,-1
"polymerase (DNA directed), alpha 2, accessory subunit",0,0,1,0,1,-1,0,-1
lnc-ANKMY2-1:1,0,0,0,0,1,-1,0,-1
X-box binding protein 1,0,-1,0,0,0,-1,0,-1
tenascin XB,0,-1,0,1,-1,-1,0,-1
KBTBD11 overlapping transcript 1,0,0,0,0,0,-1,0,-1
"malic enzyme 2, NAD(+)-dependent, mitochondrial",0,0,-1,0,1,-1,0,-1
"Bloom syndrome, RecQ helicase-like",-1,1,1,1,1,-1,0,-1
"protein phosphatase 2, catalytic subunit, alpha isozyme",0,-1,0,0,1,-1,0,-1
lnc-SLC15A1-1:1,-1,-1,-1,0,-1,-1,0,-1
mitochondrial ribosomal protein S23,0,0,1,-1,0,-1,0,-1
lamin B1,0,-1,0,1,1,-1,0,-1
long intergenic non-protein coding RNA 662,0,0,0,0,-1,-1,0,-1
"transcription elongation factor A (SII), 1",0,0,0,-1,0,-1,0,-1
"solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6",0,0,1,0,0,-1,0,-1
centrosomal protein 120kDa,0,-1,0,0,0,-1,0,-1
methyltransferase like 21A,0,0,0,-1,1,-1,0,-1
TNF receptor-associated factor 4,-1,1,1,0,1,-1,0,-1
target of myb1 (chicken)-like 1,1,1,1,1,1,-1,0,-1
lnc-RELT-1:1,0,0,0,0,1,-1,0,-1
stem-loop binding protein,0,0,0,0,0,-1,0,-1
"DnaJ (Hsp40) homolog, subfamily A, member 3",0,0,0,0,0,-1,0,-1
HLA complex group 8,0,-1,-1,0,0,-1,0,-1
chromosome 1 open reading frame 112,0,0,0,-1,0,-1,0,-1
cyclin A2,0,0,1,0,0,-1,0,-1
"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)",0,-1,0,0,1,-1,0,-1
transmembrane protein 97,1,-1,0,0,0,-1,0,-1
"small nucleolar RNA, C/D box 11",0,-1,-1,0,0,-1,0,-1
tuftelin 1,1,1,0,1,1,-1,0,-1
isoleucyl-tRNA synthetase,0,-1,-1,0,0,-1,0,-1
"pituitary tumor-transforming 3, pseudogene",1,0,0,0,0,-1,0,-1
lactate dehydrogenase A,1,-1,0,0,1,-1,0,-1
interleukin 1 receptor accessory protein,0,0,1,-1,1,-1,0,-1
"solute carrier family 35 (UDP-GlcNAc/UDP-glucose transporter), member D2",0,-1,0,-1,-1,-1,0,-1
SLC7A11 antisense RNA 1,0,-1,-1,0,0,-1,0,-1
activating transcription factor 3,0,-1,-1,-1,-1,-1,0,-1
small proline-rich protein 2C (pseudogene),0,0,0,0,0,-1,0,-1
establishment of sister chromatid cohesion N-acetyltransferase 2,0,1,1,0,1,-1,0,-1
"brain expressed, X-linked 4",0,1,1,1,1,-1,0,-1
"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",0,0,0,1,0,-1,0,-1
"Fanconi anemia, complementation group A",0,0,1,0,0,-1,0,-1
ADP-ribosylation factor-like 6 interacting protein 6,0,-1,0,-1,-1,-1,0,-1
adenylate cyclase 7,0,0,1,-1,0,-1,0,-1
URB2 ribosome biogenesis 2 homolog (S. cerevisiae),0,0,0,-1,0,-1,0,-1
slowmo homolog 2 (Drosophila),0,-1,-1,-1,0,-1,0,-1
exonuclease 1,1,0,1,0,1,-1,0,-1
long intergenic non-protein coding RNA 174,0,-1,-1,0,0,-1,0,-1
